Ship_critical		{Kritischer Treffer!}
Ship_critical_notif		{' - Kritischer Treffer!}
Ship_sunk			{%1 "%2" ist gesunken. +%3 genonnene Erfahrung.}
Ship_sunk_other		{%1 "%2" ist gesunken.}
Ship_got_good		{%1 Zentner von %2 wurden an Bord gebracht.}
Ship_cant_got_good	{Kein Platz für %1}

Fort_destroy		{Fort %1 ist zersört. +%2 gewonnene Erfahrung.}
Fort_destroy_notif	{Fort Artillerie unterdrückt!}
Fort_cannon			{Kanonen des Forts sind zerstört!}

seg_Balls 			{Kanonenkugeln}
seg_Grapes 			{Kartätsche}
seg_Knippels 		{Kettengeschoss}
seg_Bombs 			{Bomben}
seg_Sailcloth 		{Segeltücher}
seg_Planks 			{Planken}
seg_Slaves 			{Sklaven}
seg_Wheat 			{Weizen}
seg_Ebony 			{Ebenholz}
seg_Chocolate 		{Kakao}
seg_Suga 			{Zucker}
seg_Wine 			{Wein}
seg_ShipSilk 		{Schiffsseide}
seg_Rum 			{Rum}
seg_Tobacco 		{Tabak}
seg_Coffee 			{Kaffee}
seg_Mahogany 		{Mahagoni}
seg_Cinnamon 		{Vanille}
seg_Copra 			{Kobra}
seg_Paprika 		{Paprika}
seg_Fruits 			{Früchte}
seg_Ale 			{Bier}
seg_Ropes 			{Seile}
seg_Clothes 		{Kleidung}
seg_Cotton 			{Baumwolle}
seg_Sandal 			{Eisenholz}
seg_Leather 		{Leder}
seg_Oil 			{Harz}
seg_Food 			{Nahrungsmittel}
seg_Weapon 			{Waffen}
seg_Gold 			{Gold}
seg_Silver 			{Silber}
seg_Powder 			{Schießpulver}
seg_Brick 			{Steine}
seg_Medicament 		{Medizin}

seg_Cannon_3		{3p. Falkonen}
seg_Cannon_6		{6-Pfünder}
seg_Cannon_12		{12-Pfünder}
seg_Cannon_16		{16-Pfünder}
seg_Cannon_20		{20-Pfünder}
seg_Cannon_24		{24-Pfünder}
seg_Cannon_32		{32-Pfünder}
seg_Cannon_36		{36-Pfünder}
seg_Cannon_42		{42-Pfünder}
seg_Culverine_8		{Halb-Kulverinen}
seg_Culverine_18	{Kulverinen}
seg_Culverine_36	{Volle Kulverinen}

sea_exp_add			{+%1 gewonnene Erfahrung}
