
Antigua			{Antigua}
Barbados		{Barbados}
Bermudes		{Isla del Tesoro}
Beliz			{Jukatan}
Cuba   			{Kuba}
Cuba1   		{Kuba}
Cuba2   		{Kuba}
Caiman 			{Kajman}
Cumana 			{Kontynent}
Caracas 		{Kontynent}
Curacao			{Kurakao}
Cartahena 		{Kontynent}
Dominica		{Dominika}
Guadeloupe		{Gwadelupa}
Hispaniola 		{Hispaniola}
Hispaniola1		{Hispaniola}
Hispaniola2 	{Hispaniola}
Jamaica			{Jamajka}
Maracaibo 		{Kontynent}
Martinique		{Martynika}
SentMartin		{Św. Marcina}
Nevis			{Św. Krzysztofa}
PuertoRico		{Portoryko}
PortoBello 		{Kontynent}
Pearl 			{Perłowa Plaża}
Panama 			{Panama}
SantaCatalina 	{Kontynent}
Terks			{Turks}
Tortuga			{Tortuga}
Trinidad		{Trynidad}
Tenotchitlan 	{Lago Peten}
Mein 			{Kontynent}
KhaelRoa 		{Khael Roa}
Ksochitam 		{Ksocheatem}
RockIsland 		{Polnocne Rafy}
Providence 		{Opatrznosc}
SantaQuiteria 	{Santa Quiteria}
IslaDeVieques 	{Isla de Vieques}
IslaMona 		{Isla Mona}
IslaDeCoche 	{Isla de Coche}
Tobago 			{Tobago}

SentJons_town 	{St. John's}
Pirates_town	{Sharptown}
Bridge_town		{Bridgetown}
Beliz_town		{Belize}
Santiago_town	{Santiago}
PuertoPrincipe_town	{Puerto del Principe}
Havana_town		{Hawana}
Cumana_town		{Kumana}
Caracas_town	{Karakas}
Villemstad_town	{Willemstad}
Cartahena_town	{Kartagena}
BasTer_town		{Basse-Terre}
SantoDomingo_town	{Santo Domingo}
LaVega_town		{La Vega}
PortPax_town	{Port-au-Prince}
PortRoyal_town	{Port Royal}
Maracaibo_town	{Marakaibo}
FortFrance_town	{Saint-Pierre}
LeFransua_town	{Le Francois}
Marigo_town		{Philipsburg}
Charles_town	{Capsterville}
SanJuan_town	{San Juan}
PortoBello_town	{Portobelo}
Panama_town		{Panama}
SantaCatalina_town	{Blueweld}
Tortuga_town	{Tortuga}
PortSpein_town	{San Jose}
Tenotchitlan_town	{Tayasal}
FortOrange_town	{Maroon Town}
Providence_town	{San Andres}
Estate 			{Posiadłość Oglethorpe, Anglia}
DesMoines 		{Des Moines}
Minentown_town 	{Kopalnia Los-Teques}
ExitMine 		{Brama do kopalni}
Factoria 		{Faktoria}						   

Shore1	{Cape Boon}
Shore2	{Falmouth Cove}
Shore3	{Benures Bay}
Shore4	{Harrison Cape}
Shore5	{Cape Ragged Point}
Shore6	{Cape Catoche}
Shore7	{Cozumel Bay}
Shore8	{Chetumal Cove}
Shore9	{Amatique Cove}
Shore10	{Caratasca Lagoon}
Shore11	{Cape Camaguey}
Shore12	{Anna Maria Bay}
Shore13	{Batabano Bay}
Shore14	{Juventud Cove}
Shore15	{Cape San Antonio}
Shore16	{Desert Coast}
Shore17	{Esmeralda Bay}
Shore18	{Boca de la Serpienta Coast}
Shore19	{Carupano Cove}
Shore20	{Los-Teques Beach}
Shore21	{Cape Aruba}
Shore22	{Coast Van Hato}
Shore23	{Cape Santa Maria}
Shore24	{Blanca Lagoon}
Shore25	{Covenas Cove}
Shore26	{Castle Bruce Beach}
Shore27	{Cape Scott's Head}
Shore28	{Morne-a-l'Eau Cove}
Shore29	{Capster Beach}
Shore30	{Grand-Bourg Cove}
Shore31	{Cape Inaccessible}
Shore32	{Cape Isabella}
Shore33	{Samana Cove}
Shore34	{Gonaives Bay}
Shore35	{Cape Negril}
Shore36	{Portland Bay}
Shore37	{Guajira Bay}
Shore38	{Lamentin Bay}
Shore39	{Le Marin Cove}
Shore40	{Grand Case Beach}
Shore41	{Simpson Bay}
Shore42	{Sandy Bay}
Shore43	{Half Moon Bay}
Shore44	{Aguadilla Cove}
Shore45	{Fajardo Beach}
Shore46	{Chiriqui Lagoon}
Shore47	{Mosquitoes Bay}
Shore48	{Golfo del Darien}
Shore49	{Papagayo Bay}
Shore50	{Nicoya Bay}
Shore51	{Coronado Bay}
Shore52	{Golfo Dulce}
Shore53	{Mosquito Coast}
Shore54	{Cape Perlas}
Shore55	{Bay of San Juan del Norte}
Shore56	{Northern Bay}
Shore57	{Southern Bay}
Shore58	{Fisheye Beach}
Shore59	{Scarborough Cove}
Shore60	{Galera Point}
Shore61	{Tepeyakak}
Shore62	{Iztapalapa}
Shore63	{San Miguel Bay}
Shore64 {Reef Cove}
Shore65 {Rocky Cove}
Shore66 {Shark Beach}
Shore66_1 {Cursed Cove}
Shore67 {Skeleton Reef}
