
Antigua			{Antigua}
Barbados		{Barbados}
Bermudes		{Isla del Tesoro}
Beliz			{Yucatán}
Cuba   			{Cuba}
Cuba1   		{Cuba}
Cuba2   		{Cuba}
Caiman 			{Caimán}
Cumana 			{Tierra Firme}
Caracas 		{Tierra Firme}
Curacao			{Curaçao}
Cartahena 		{Tierra Firme}
Dominica		{Dominica}
Guadeloupe		{Guadalupe}
Hispaniola 		{La Española}
Hispaniola1		{La Española}
Hispaniola2 	{La Española}
Jamaica			{Jamaica}
Maracaibo 		{Tierra Firme}
Martinique		{Martinica}
SentMartin		{Saint-Martin}
Nevis			{Saint Christopher}
PuertoRico		{Puerto Rico}
PortoBello 		{Tierra Firme}
Pearl 			{Playa de la Perla}
Panama 			{Panamá}
SantaCatalina 	{Tierra Firme}
Terks			{Islas Turcas}
Tortuga			{Tortuga}
Trinidad		{Trinidad y Tobago}
Tenotchitlan 	{Lago Peten}
Mein 			{Tierra Firme}
KhaelRoa 		{Khael Roa}
Ksochitam 		{Ksocheatem}
RockIsland 		{Arrecifes del Norte}
Providence 		{Providence}
SantaQuiteria 	{Santa Quiteria}
IslaDeVieques 	{Isla de Vieques}
IslaMona 		{Isla Mona}
IslaDeCoche 	{Isla de Coche}
Tobago 			{Tobago}
MarieGalante 	{Marie Galante}

SentJons_town 	{St. John's}
Pirates_town	{Sharptown}
Bridge_town		{Bridgetown}
Beliz_town		{Belice}
Santiago_town	{Santiago}
PuertoPrincipe_town	{Puerto Príncipe}
Havana_town		{La Habana}
Cumana_town		{Cumaná}
Caracas_town	{Caracas}
Villemstad_town	{Willemstad}
Cartahena_town	{Cartagena}
BasTer_town		{Basse-Terre}
SantoDomingo_town	{Santo Domingo}
LaVega_town		{La Vega}
PortPax_town	{Port-au-Prince}
PortRoyal_town	{Port Royal}
Maracaibo_town	{Maracaibo}
FortFrance_town	{Saint-Pierre}
LeFransua_town	{Le François}
Marigo_town		{Philipsburg}
Charles_town	{Capsterville}
SanJuan_town	{San Juan}
PortoBello_town	{Portobello}
Panama_town		{Panamá}
SantaCatalina_town	{Blueweld}
Tortuga_town	{Tortuga}
PortSpein_town	{San José}
Tenotchitlan_town	{Tayasal}
FortOrange_town	{Maroon Town}
Providence_town	{San Andrés}
Estate 			{Propiedad de Oglethorpe, Inglaterra}
DesMoines 		{Des Moines}
Minentown_town 	{Mina Los-Teques}
ExitMine 		{Pasadizo a la mina}
Factoria 		{Factoría}						   

Shore1	{Cabo Boon}
Shore2	{Costa de Falmouth}
Shore3	{Bahía de Benures}
Shore4	{Cabo Harrison}
Shore5	{Cabo Ragged Point}
Shore6	{Cabo Catoche}
Shore7	{Bahía Cozumel}
Shore8	{Costa de Chetumal}
Shore9	{Costa de Amatique}
Shore10	{Laguna Caratasca}
Shore11	{Cabo Camagüey}
Shore12	{Bahía de Anna María}
Shore13	{Bahía Batabano}
Shore14	{Costa de la Juventud}
Shore15	{Cabo San Antonio}
Shore16	{Costa Desierta}
Shore17	{Bahía Esmeralda}
Shore18	{Costa de Boca de la Serpiente}
Shore19	{Costa de Carúpano}
Shore20	{Playa Los-Teques}
Shore21	{Cabo Aruba}
Shore22	{Costa Van Hato}
Shore23	{Cabo Santa María}
Shore24	{Laguna Blanca}
Shore25	{Costa Covenas}
Shore26	{Playa de Castle Bruce}
Shore27	{Cabo Scott's Head}
Shore28	{Costa de Morne-a-l'Eau}
Shore29	{Costa Capster}
Shore30	{Costa Grand-Bourg}
Shore31	{Cabo Inaccesible}
Shore32	{Cabo Isabella}
Shore33	{Costa de Samaná}
Shore34	{Bahía Gonaïves}
Shore35	{Cabo Negril}
Shore36	{Bahía Portland}
Shore37	{Bahía Guajira}
Shore38	{Bahía Lamentin}
Shore39	{Cabo Le Marín}
Shore40	{Playa Grand Case}
Shore41	{Bahía Simpson}
Shore42	{Bahía Sandy}
Shore43	{Bahía Half Moon}
Shore44	{Costa de Aguadilla}
Shore45	{Playa Fajardo}
Shore46	{Laguna Chiriquí}
Shore47	{Bahía Mosquitos}
Shore48	{Golfo de Darién}
Shore49	{Bahía Papagayo}
Shore50	{Bahía Nicoya}
Shore51	{Bahía Coronado}
Shore52	{Golfo Dulce}
Shore53	{Costa de los Mosquitos}
Shore54	{Cabo de las Perlas}
Shore55	{Bahía de San Juan del Norte}
Shore56	{Bahía del Norte}
Shore57	{Bahía del Sur}
Shore58	{Playa Fisheye}
Shore59	{Cabo de Scarborough}
Shore60	{Galera Point}
Shore61	{Tepeyakak}
Shore62	{Iztapalapa}
Shore63	{Bahía de San Miguel}
