Ship_critical		{¡Impacto crítico!}
Ship_critical_notif		{' - impacto crítico!}
Ship_sunk			{%1 "%2" se ha hundido. +%3 experiencia obtenida.}
Ship_sunk_other		{%1 "%2" se ha hundido.}
Ship_got_good		{%1 unidades de %2 rescatadas}
Ship_cant_got_good	{No hay espacio para %1}

Fort_destroy		{¡Fuerte %1 destruido! +%2 de experiencia.}
Fort_destroy_notif	{¡Artillería bajo supresión!}
Fort_cannon			{¡Has destruido algunos cañones del fuerte!}

seg_Balls 			{Balas de cañón}
seg_Grapes 			{Metralla}
seg_Knippels 		{Balas encadenadas}
seg_Bombs 			{Bombas}
seg_Sailcloth 		{Lona}
seg_Planks 			{Tablones}
seg_Slaves 			{Esclavos}
seg_Wheat 			{Trigo}
seg_Ebony 			{Ébano}
seg_Chocolate 		{Cacao}
seg_Suga 			{Azúcar}
seg_Wine 			{Vino}
seg_ShipSilk 		{Seda}
seg_Rum 			{Ron}
seg_Tobacco 		{Tabaco}
seg_Coffee 			{Café}
seg_Mahogany 		{Caoba}
seg_Cinnamon 		{Canela}
seg_Copra 			{Copra}
seg_Paprika 		{Pimentón}
seg_Fruits 			{Fruta}
seg_Ale 			{Cerveza}
seg_Ropes 			{Cuerdas}
seg_Clothes 		{Ropa}
seg_Cotton 			{Algodón}
seg_Sandal 			{Sándalo}
seg_Leather 		{Cuero}
seg_Oil 			{Resina}
seg_Food 			{Comida}
seg_Weapon 			{Armas}
seg_Gold 			{Oro}
seg_Silver 			{Plata}
seg_Powder 			{Pólvora}
seg_Brick 			{Ladrillos}
seg_Medicament 		{Medicina}

seg_Cannon_3		{Falconetes de 3 libras}
seg_Cannon_6		{Cañones de 6 libras}
seg_Cannon_12		{Cañones de 12 libras}
seg_Cannon_16		{Cañones de 16 libras}
seg_Cannon_20		{Cañones de 20 libras}
seg_Cannon_24		{Cañones de 24 libras}
seg_Cannon_32		{Cañones de 32 libras}
seg_Cannon_36		{Cañones de 36 libras}
seg_Cannon_42		{Cañones de 42 libras}
seg_Culverine_8		{Culebrinas de 8 libras}
seg_Culverine_18	{Culebrinas de 18 libras}
seg_Culverine_36	{Culebrinas de 36 libras}

sea_exp_add			{+%1 de experiencia}
